pair_id,verdict,notes,governorate,pair_type,source_a,name_a,category_a,source_b,name_b,category_b,distance_m,name_sim,band,lat_a,lon_a,lat_b,lon_b
39,,,Qalyubiya,cross_source,overture,المستشفى الكويتى التخصصى,hospital,fsq,المستشفى الكويتي - بنها,Health and Medicine > Hospital,68.2,0.923,0.90-0.99,30.46600745,31.1871804,30.465394973754883,31.187175750732422
40,,,Giza,intra_source,fsq,حكاية - فيصل,Dining and Drinking > Bar > Hookah Bar,fsq,قهوة الاوبرج - فيصل,"Dining and Drinking > Cafe, Coffee, and Tea House > Tea Room",91.9,1.0,0.99-1.01,30.005306155604572,31.176047168655316,30.00455403620077,31.17565568550634
41,,,Cairo,intra_source,overture,Cheers Hostel Cairo,hostel,overture,Miami Cairo Hostel,hotel,1.3,0.75,0.72-0.80,30.05114243,31.24067148,30.05113434,31.24068075
42,,,Alexandria,intra_source,overture,الجوهري,clothing_store,overture,Jamal Al Fuwal Jewelry,jewelry_store,108.4,0.833,0.80-0.90,31.23440166,29.96992817,31.2352309,29.96934064
43,,,Qalyubiya,intra_source,overture,عيادات العذراء والشهيد اسطفانوس,hospital,overture,كنيسة السيدة العذراء والشهيد استفانوس _ شبرا الخيمة,church_cathedral,0.0,0.95,0.90-0.99,30.1264,31.26412,30.1264,31.26412
44,,,Qalyubiya,intra_source,fsq,Room 239 ~Main Building,Community and Government > Education > College and University > University,fsq,MIU Main Building,Community and Government > Education > College and University > College Academic Building,34.0,1.0,0.99-1.01,30.168916702270508,31.492090225219727,30.168614869959328,31.492036599527108
45,,,Cairo,cross_source,overture,Manyal,bridge,fsq,WE Manial,Retail > Computers and Electronics Retail > Mobile Phone Store,105.5,0.75,0.72-0.80,30.0208333333,31.2255555556,30.019889,31.225652
46,,,Qalyubiya,cross_source,overture,HANIMEX Obour,furniture_store,fsq,Hanimex,Retail > Furniture and Home Store,81.3,0.8,0.80-0.90,30.17139779,31.47676698,30.17103,31.47604
47,,,Giza,intra_source,overture,اكتوبر كلينينك مركز جراحات د . احمد مؤنس,internal_medicine,overture,اكتوبر كلينيك,hospital,6.6,0.909,0.90-0.99,29.98371447180264,30.984277324829563,29.98368253,30.98433454
48,,,Alexandria,cross_source,overture,Zara,mens_clothing_store,fsq,ZARA,Business and Professional Services > Tailor,10.0,1.0,0.99-1.01,31.16893304,29.93147415,31.16894229320146,29.931576965191468
49,,,Cairo,cross_source,overture,A_vision technology_store,information_technology_company,fsq,Ousta Technologies HQ,Business and Professional Services > Business Center,80.8,0.727,0.72-0.80,30.04431888,31.23804807,30.04396,31.238775
50,,,Qalyubiya,cross_source,overture,MIU - N Building,college_university,fsq,RB5~R Building,Community and Government > Education > College and University > College Classroom,112.1,0.833,0.80-0.90,30.17067987,31.49158662,30.171606063842773,31.492042541503906
51,,,Giza,cross_source,overture,Starbucks,coffee_shop,fsq,ستاربكس,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",18.4,0.923,0.90-0.99,29.97171395,31.01657645,29.971841,31.016698
52,,,Cairo,intra_source,fsq,Bayti Al-Kadeeem,Community and Government > Residential Building > Apartment or Condo,fsq,Bayti Al-Kadeeem,Community and Government > Residential Building > Apartment or Condo,69.4,1.0,0.99-1.01,30.095039529662426,31.246739008630495,30.095661772147228,31.2467893120361
53,,,Alexandria,intra_source,overture,مصنع نانو تكس للملابس الجاهزة,clothing_store,overture,سنترالبركه للملابس الجاهزة,clothing_store,0.0,0.737,0.72-0.80,31.1981,29.9192,31.1981,29.9192
54,,,Cairo,intra_source,overture,Rifqah Travel,travel_services,overture,Travel Go,travel_services,68.2,0.8,0.80-0.90,30.05675114,31.33892199,30.05685017,31.33822597
55,,,Alexandria,cross_source,overture,الطيباوي,middle_eastern_restaurant,fsq,El Tibawy,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Egyptian Restaurant,29.2,0.909,0.90-0.99,31.23383107,29.94848855,31.234066137404007,29.94835386516577
56,,,Giza,cross_source,overture,سنابل للصناعات الالكترونية,electronics,fsq,سنابل للصناعات الالكترونية,Retail > Computers and Electronics Retail > Electronics Store,0.0,1.0,0.99-1.01,29.917927,30.880995,29.917927,30.880995
57,,,Qalyubiya,cross_source,overture,مأمورية الضرائب العامة - شبرا الخيمة 1,central_government_office,fsq,مكتب بريد - الضرائب على المبيعات,Community and Government > Government Building > Post Office,95.4,0.75,0.72-0.80,30.102457,31.244165,30.103313,31.244108
58,,,Giza,intra_source,fsq,حى المنتزة,,fsq,Al Montazah Lake,Landmarks and Outdoors > Lake,41.9,0.833,0.80-0.90,29.90971,31.060317,29.910057808488006,31.060151221893435
59,,,Cairo,intra_source,fsq,قهوة كده جنب محطة مترو المعادى,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",fsq,Maadi Metro Station | محطة مترو المعادي,Travel and Transportation > Transport Hub > Metro Station,101.6,0.909,0.90-0.99,29.960433959960938,31.257009506225586,29.96021129452516,31.258028790382916
60,,,Qalyubiya,cross_source,overture,Banque Misr,banks,fsq,Banque Misr,Business and Professional Services > Financial Service > Banking and Finance > Bank,62.5,1.0,0.99-1.01,30.1025514190001,31.243695302,30.10304958351585,31.243396578722386
61,,,Giza,intra_source,overture,Rayhana developments,home_developer,overture,Capital Hills Developments,home_developer,17.0,0.75,0.72-0.80,30.01960446,31.00416869,30.019756517535,31.004179542821
62,,,Qalyubiya,intra_source,fsq,Rc4 - R building,,fsq,NA3 ~ N Building,Community and Government > Education > College and University > College Auditorium,135.1,0.833,0.80-0.90,30.171690958510993,31.491979117083165,30.170494079589844,31.491748809814453
63,,,Alexandria,intra_source,overture,صيدلية  د/ مها عبد الحميد,pharmacy,overture,Mohamed adel fahmey pharmacy -صيدليه د:محمد عادل فهمي,pharmacy,70.4,0.933,0.90-0.99,31.1981,29.9192,31.197679776716,29.919744
64,,,Alexandria,intra_source,fsq,The Colour Green @ L Passage,Dining and Drinking > Restaurant > Salad Restaurant,fsq,The Colour Green,Dining and Drinking > Restaurant,10.4,1.0,0.99-1.01,31.197946993839054,29.906464197213033,31.19797646200197,29.906362521373183
65,,,Qalyubiya,intra_source,overture,عيادة دكتور محمود سعد استشاري جراحة العظام,health_and_medical,overture,عيادة دكتور محمد جودة استشاري العيون والليزك,eye_care_clinic,0.0,0.732,0.72-0.80,30.44854,31.18245,30.44854,31.18245
66,,,Giza,intra_source,overture,AQUA Dental Clinic,dentist,overture,Modern Dental Clinic,dentist,102.4,0.889,0.80-0.90,30.040306376207,31.207818388939,30.03991236,31.20877566
67,,,Cairo,intra_source,overture,شارع السباق اشرف فرغلي,coffee_shop,overture,Ashraf Farghaly,smoothie_juice_bar,43.5,0.9,0.90-0.99,30.101983109599,31.322908960283,30.10233267,31.32270795
68,,,Giza,intra_source,fsq,Manakesh,Dining and Drinking > Bakery,fsq,Manakesh,Dining and Drinking > Restaurant > Mediterranean Restaurant,81.7,1.0,0.99-1.01,30.04470757511323,31.19445335324238,30.044849786316483,31.193623432247552
69,,,Giza,cross_source,overture,نصر الدين - الهرم,police_department,fsq,Haram Tunnel | نفق الهرم,Landmarks and Outdoors > Tunnel,47.0,0.727,0.72-0.80,30.011888587508494,31.204653337249702,30.01226113617453,31.20488276618682
70,,,Qalyubiya,intra_source,overture,تساهيل للأثاث الراقي,furniture_store,overture,قصر البتول للأثاث الراقي,furniture_store,18.4,0.8,0.80-0.90,30.23821793,31.25019394,30.23836784,31.25027517
71,,,Alexandria,intra_source,fsq,Khannah,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",fsq,Khanah - خانة,Arts and Entertainment > Performing Arts Venue > Music Venue,29.1,0.923,0.90-0.99,31.224679,29.952299,31.224718849503155,29.952001730327947
72,,,Alexandria,intra_source,overture,فرع_ميامي_شارع جمال عبد الناصر99.99,shoe_store,overture,ريش نعام | فرع ميامي,shopping,83.1,1.0,0.99-1.01,31.2653460575,29.99838,31.266088,29.998473
73,,,Qalyubiya,cross_source,overture,موبايل شوب,mobile_phone_store,fsq,كمبيوتر شوب,Business and Professional Services > Home Improvement Service,105.4,0.727,0.72-0.80,30.17388174,31.47551876,30.174412,31.474615
74,,,Giza,cross_source,overture,شركة هاى لايتس للسياحة ( فرع الجيزة ),tours,fsq,مكتب بريد - الجيزة 1,Community and Government > Government Building > Post Office,82.9,0.8,0.80-0.90,30.01652485,31.21264665,30.016897,31.21339
75,,,Cairo,cross_source,overture,سيتى كافيه,,fsq,City Cafe | سيتي كافيه,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",15.0,0.941,0.90-0.99,30.05227555,31.24013332,30.05227745759191,31.239978075027466
76,,,Cairo,cross_source,overture,Starbucks,coffee_shop,fsq,Star Bucks,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",17.3,1.0,0.99-1.01,30.04435667,31.23575718,30.04442066161455,31.23559348086839
77,,,Qalyubiya,intra_source,overture,مستشفى الأطفال التخصصي ببنها,hospital,overture,المستشفى الكويتى التخصصى,hospital,109.7,0.778,0.72-0.80,30.4669884,31.18706843,30.46600745,31.1871804
78,,,Cairo,intra_source,fsq,Mahmoud Beckham Computer,Community and Government > Education > College and University > Fraternity House,fsq,Mahmoud Beckham Cafe Ole,Retail > Fashion Retail > Jewelry Store,0.6,0.833,0.80-0.90,30.093011,31.293071,30.093006,31.293073
79,,,Cairo,cross_source,overture,Gate F3,airport,fsq,Gate F30,Travel and Transportation > Transport Hub > Airport > Airport Gate,146.6,0.933,0.90-0.99,30.108771675811,31.39904129251,30.1097,31.400118
80,,,Alexandria,cross_source,overture,شركة الشمعدان للصناعات الغذائية ش.م.م,jewelry_and_watches_manufacturer,fsq,شركة الشمعدان للصناعات الغذائية ش.م.م,Business and Professional Services > Factory,0.0,1.0,0.99-1.01,31.128927230835,29.824426651001,31.12892723083496,29.824426651000977
81,,,Giza,cross_source,overture,مكتبة معرفة  :  Knowledge Center,library,fsq,Knowledge Academy,Community and Government > Education > College and University > Student Center,54.3,0.727,0.72-0.80,29.98430442705,31.094451307678,29.98421,31.0939
82,,,Qalyubiya,cross_source,overture,Ahl  cairo cafe,cafe,fsq,Ahl Cairo,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",122.0,0.8,0.80-0.90,30.133251012633806,31.279178897452006,30.133622007197474,31.27799034118652
83,,,Alexandria,cross_source,overture,Automobile & Touring Club of Egypt   نادي السيارات و الرحلات المصري,landmark_and_historical_building,fsq,نادى السيارات والرحلات المصرى,,41.0,0.944,0.90-0.99,31.267884432337784,29.986321601556046,31.267966,29.986735
84,,,Alexandria,intra_source,fsq,Kan Yama Ka,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",fsq,Kan Yama Kan,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",37.2,1.0,0.99-1.01,31.21080780029297,29.99795150756836,31.210989746525275,29.99827482711118
85,,,Cairo,intra_source,overture,Alawal Real Estate,real_estate_service,overture,ALL90 for Real Estate,real_estate_agent,23.6,0.769,0.72-0.80,30.026021699826,31.46457929069,30.026039490407,31.464822292328
86,,,Giza,cross_source,overture,Bab Eldewal- باب الدول,coffee_shop,fsq,المصرف العربى الدولى - ايه اى بى,Business and Professional Services > Financial Service > Banking and Finance > Bank,109.4,0.833,0.80-0.90,30.056451392398,31.203739517574,30.055831,31.202862
87,,,Qalyubiya,cross_source,overture,دار ظباط النقل,accommodation,fsq,دار ضباط النقل,Community and Government > Organization > Club House,45.4,0.909,0.90-0.99,30.113809840005,31.241826483351,30.113445,31.242037
88,,,Qalyubiya,cross_source,overture,Autovrooom,race_track,fsq,AutoVrooom,Sports and Recreation > Race Track,21.9,1.0,0.99-1.01,30.201707384512936,31.455247330092877,30.2019027612988,31.455220714503785
89,,,Giza,intra_source,overture,بيوتي سنتر  عيسي تدرس,professional_services,overture,Sugar Beauty Salon / شوجر-  بيوتي صالون,beauty_salon,35.4,0.778,0.72-0.80,30.008351746797,31.211971330056,30.0086,31.2122
90,,,Alexandria,cross_source,overture,El Mandara Station,train_station,fsq,El Mandara Train Station | محطة قطار المندره,Travel and Transportation > Train,74.0,0.857,0.80-0.90,31.27844584,30.01359389,31.27898230632041,30.014045629046432
91,,,Cairo,cross_source,overture,كشرى هند,restaurant,fsq,Koshary Hend (كشري هند),Dining and Drinking > Restaurant > Middle Eastern Restaurant > Egyptian Restaurant,13.6,0.941,0.90-0.99,30.04991426,31.31640455,30.049981,31.316287
92,,,Giza,cross_source,overture,Piano Cafe,cafe,fsq,Piano Cafe,Dining and Drinking > Restaurant > Italian Restaurant,0.0,1.0,0.99-1.01,30.023994569226634,30.999184440562342,30.023994569226634,30.999184440562342
93,,,Giza,cross_source,overture,مسجد فاضل غرب سوميد أكتوبر,mosque,fsq,Masjed Gharb Somid,Community and Government > Spiritual Center > Mosque,46.5,0.727,0.72-0.80,29.97659346,30.9818304,29.976865768432617,30.982194900512695
94,,,Giza,intra_source,fsq,Indiana Hotel,Landmarks and Outdoors > Structure,fsq,Santana Hotel Cairo,Travel and Transportation > Lodging > Hotel,84.1,0.833,0.80-0.90,30.043176994745266,31.2170003552341,30.04393,31.216936
95,,,Alexandria,intra_source,overture,عياده الدكتور/ابراهيم حسن    استشاري الباطنه والتغذية والقلب  ,diagnostic_services,overture,عيادة الدكتور / اسلام سامي Dr. Eslam samy ,health_and_medical,0.1,0.947,0.90-0.99,31.19810066891,29.9192,31.198100264861,29.919200897217
96,,,Cairo,cross_source,overture,Avatar Travel,travel_services,fsq,Avatar Travel,Travel and Transportation,33.5,1.0,0.99-1.01,30.10528885,31.3391069,30.104991240376997,31.339054237293574
97,,,Cairo,intra_source,fsq,Nassib & Nadia Beauty Center & Spa,Business and Professional Services > Health and Beauty Service > Hair Salon,fsq,Queens Lounge beauty center and spa,Business and Professional Services > Health and Beauty Service > Nail Salon,47.6,0.75,0.72-0.80,30.080511963098004,31.338749459919715,30.080616,31.339227
98,,,Cairo,cross_source,overture,Hot Bite Café & Restaurant,breakfast_and_brunch_restaurant,fsq,Hot Bite,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",17.7,0.8,0.80-0.90,30.1045624,31.34956384,30.104449404425626,31.349692938046672
99,,,Cairo,intra_source,overture,Yasseribrahim wedding planner,wedding_planning,overture,SHimaa Saied.Wedding Planner,wedding_planning,67.2,1.0,0.99-1.01,30.0446789,31.2347384,30.04427,31.23525
100,,,Cairo,cross_source,overture,كنتاكى,fast_food_restaurant,fsq,دجاج كنتاكى,Dining and Drinking > Restaurant > Fast Food Restaurant,34.9,0.727,0.72-0.80,30.0529868,31.24660801,30.05272,31.246418





pair_id,verdict
1,SAME
2,DIFFERENT
3,DIFFERENT
4,DIFFERENT
5,DIFFERENT
6,DIFFERENT
7,DIFFERENT
8,DIFFERENT
9,DIFFERENT
10,DIFFERENT
11,SAME
12,SAME
13,DIFFERENT
14,DIFFERENT
15,DIFFERENT
16,DIFFERENT
17,DIFFERENT
18,DIFFERENT
19,DIFFERENT
20,DIFFERENT
21,DIFFERENT
22,SAME
23,DIFFERENT
24,SAME
25,DIFFERENT
26,DIFFERENT
27,SAME
28,DIFFERENT
29,DIFFERENT
30,DIFFERENT
31,DIFFERENT
32,DIFFERENT
33,DIFFERENT
34,DIFFERENT
35,SAME
36,DIFFERENT
37,DIFFERENT
38,DIFFERENT
39,DIFFERENT
40,DIFFERENT
41,DIFFERENT
42,DIFFERENT
43,DIFFERENT
44,DIFFERENT
45,DIFFERENT
46,DIFFERENT
47,DIFFERENT
48,SAME
49,DIFFERENT
50,DIFFERENT
51,SAME
52,SAME
53,DIFFERENT
54,DIFFERENT
55,SAME
56,SAME
57,DIFFERENT
58,DIFFERENT
59,DIFFERENT
60,DIFFERENT
61,DIFFERENT
62,DIFFERENT
63,DIFFERENT
64,SAME
65,DIFFERENT
66,DIFFERENT
67,DIFFERENT
68,DIFFERENT
69,DIFFERENT
70,DIFFERENT
71,DIFFERENT
72,DIFFERENT
73,DIFFERENT
74,DIFFERENT
75,SAME
76,SAME
77,DIFFERENT
78,SAME
79,DIFFERENT
80,SAME
81,DIFFERENT
82,DIFFERENT
83,DIFFERENT
84,DIFFERENT
85,DIFFERENT
86,DIFFERENT
87,SAME
88,SAME
89,DIFFERENT
90,DIFFERENT
91,SAME
92,SAME
93,SAME
94,DIFFERENT
95,DIFFERENT
96,SAME
97,DIFFERENT
98,SAME
99,DIFFERENT
100,SAME
