pair_id,verdict,notes,governorate,pair_type,source_a,name_a,category_a,source_b,name_b,category_b,distance_m,name_sim,dband,lat_a,lon_a,lat_b,lon_b
35,,,Cairo,cross_source,overture,مدرسة عبد العزيز آل سعود,elementary_school,fsq,مدرسة عبد العزيز آل سعود,Community and Government > Education > Primary and Secondary School > Elementary School,18.1,1.0,10-25m,30.105065,31.332374,30.10519790649414,31.332481384277344
36,,,Giza,cross_source,overture,Change Clinic,nutritionist,fsq,Change Clinic,Health and Medicine > Physician > Doctor's Office,42.0,1.0,25-50m,30.05683349,31.2071496,30.05703270171343,31.207518189243228
37,,,Giza,cross_source,overture,الخياط بلاست,plastic_company,fsq,الخياط بلاست,Business and Professional Services > Plastics Supplier,0.0,1.0,0m,29.915364,30.905438,29.915364,30.905438
38,,,Cairo,cross_source,overture,ONYX LOUNGE,lounge,fsq,Onyx Lounge,Dining and Drinking > Breakfast Spot,9.0,1.0,0-10m,30.072006,31.227615,30.07194667191831,31.227551462940955
39,,,Giza,cross_source,overture,Al Kahila Art Gallery,art_gallery,fsq,Al Kahila Art Gallery,Arts and Entertainment > Art Gallery,18.4,1.0,10-25m,30.05221893,31.20817516,30.052296030682438,31.208006143569946
40,,,Alexandria,cross_source,overture,Muscle Factory Gym,gym,fsq,Muscle Factory Gym,Sports and Recreation > Gym and Studio > Gym,37.3,1.0,25-50m,31.226045828094,29.957565665245,31.225758,29.957764
41,,,Cairo,cross_source,overture,ساب - برنامج دعم اتفاقية المشاركة المصرية الاوروبية,public_service_and_government,fsq,ساب - برنامج دعم اتفاقية المشاركة المصرية الاوروبية,Community and Government,0.0,1.0,0m,30.041974,31.234346,30.041974,31.234346
42,,,Giza,cross_source,overture,Butcher's Burger,burger_restaurant,fsq,Butcher's Burger,Dining and Drinking > Restaurant > Burger Joint,7.8,1.0,0-10m,30.0734009,30.9461249,30.073430001906956,30.946198532928857
43,,,Alexandria,cross_source,overture,Salon Mahmoud Elkassar,barber,fsq,Salon Mahmoud Elkassar,Business and Professional Services > Health and Beauty Service > Hair Salon,11.7,1.0,10-25m,31.23517182,29.95457704,31.235213886408502,29.954687905550742
44,,,Giza,cross_source,overture,Cyclone club,dance_club,fsq,Cyclone Club,Arts and Entertainment > Night Club,38.9,1.0,25-50m,30.061540354098,31.207442879677,30.061424568398188,31.20706345511212
45,,,Alexandria,cross_source,overture,Tivoli Dome Alex,food_court,fsq,Tivoli Dome Alex,Dining and Drinking > Food Court,0.0,1.0,0m,31.2311513191658,29.94261503219605,31.2311513191658,29.94261503219605
46,,,Qalyubiya,cross_source,overture,البنك الاهلى المصرى,atms,fsq,البنك الاهلى المصرى,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.7,1.0,0-10m,30.46490299,31.17712913,30.4649,31.177123
47,,,Qalyubiya,cross_source,overture,Uni Mall,shopping_center,fsq,Uni Mall,Retail > Shopping Mall,10.6,1.0,10-25m,30.22799668,31.45725017,30.228086,31.457287
48,,,Cairo,cross_source,overture,TotalEnergies,,fsq,TotalEnergies,Travel and Transportation > Fuel Station,0.0,1.0,0m,30.04853630065918,31.34976577758789,30.04853630065918,31.34976577758789
49,,,Qalyubiya,cross_source,overture,KFC,fast_food_restaurant,fsq,KFC,Dining and Drinking > Restaurant > Fried Chicken Joint,11.0,1.0,10-25m,30.1744365,31.47668522,30.174433,31.476799
50,,,Giza,cross_source,overture,الطحاوي للتكييف والتجارة - الكوم الأخضر,electronics,fsq,الطحاوي للتكييف والتجارة - الكوم الأخضر,Retail > Computers and Electronics Retail > Electronics Store,0.0,1.0,0m,29.996116638184,31.153213500977,29.996116638183594,31.153213500976562
51,,,Cairo,cross_source,overture,مدارس منارة هليوبوليس المتكاملة للغات,elementary_school,fsq,مدارس منارة هليوبوليس المتكاملة للغات,,12.5,1.0,10-25m,30.0524993,31.3624031,30.052528,31.362528
52,,,Giza,cross_source,overture,El Insegam Pasta   مكرونة الإنسجام,middle_eastern_restaurant,fsq,El Insegam Pasta | مكرونة الإنسجام,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Egyptian Restaurant,0.0,1.0,0m,30.004675,31.20177,30.00467490722776,31.201770374662917
53,,,Cairo,cross_source,overture,Senior Steps - IT training center,computer_coaching,fsq,Senior Steps IT Training Center,Community and Government > Education > College and University > Student Center,23.4,1.0,10-25m,30.069911087471,31.343269392395,30.069982328959554,31.34304176942323
54,,,Giza,cross_source,overture,Prego,fast_food_restaurant,fsq,Prego,Dining and Drinking > Restaurant > Fast Food Restaurant,0.0,1.0,0m,30.005752282934427,30.972560627221213,30.005752282934427,30.972560627221213
55,,,Giza,cross_source,overture,ايجى ميديا - كلام الناس,bookstore,fsq,ايجى ميديا - كلام الناس,Retail > Bookstore,0.0,1.0,0m,30.037285,31.213443,30.037285,31.213443
56,,,Cairo,cross_source,overture,Beit El Ezz,restaurant,fsq,Beit El Ezz,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",0.0,1.0,0m,30.06537,31.216781,30.06537,31.216781
57,,,Giza,cross_source,overture,Orange | أورنج,mobile_phone_store,fsq,Orange | أورنج,Retail > Computers and Electronics Retail > Mobile Phone Store,0.0,1.0,0m,30.00221607514875,31.180353398154693,30.00221607514875,31.180353398154693
58,,,Alexandria,cross_source,overture,Sidi Gaber El Mahta Tram Station,train_station,fsq,Sidi Gaber El Mahta Tram Station,Travel and Transportation > Transport Hub > Tram Station,0.0,1.0,0m,31.233279987662,29.948545860502,31.233279987662282,29.948545860501547
59,,,Alexandria,cross_source,overture,ميرك شارب اند دوم,medical_center,fsq,ميرك شارب اند دوم,Health and Medicine > Medical Center,0.0,1.0,0m,31.198573,29.899806,31.198573,29.899806
60,,,Cairo,cross_source,overture,Stavolta,ice_cream_shop,fsq,Stavolta,Dining and Drinking > Dessert Shop > Ice Cream Parlor,0.0,1.0,0m,30.09131,31.324537,30.09131,31.324537
61,,,Cairo,cross_source,overture,كيدز بلانيت,education,fsq,كيدز بلانيت,Community and Government > Education,0.0,1.0,0m,30.08252,31.324478,30.08252,31.324478
62,,,Cairo,cross_source,overture,Forall,corporate_office,fsq,Forall,Business and Professional Services > Office,0.0,1.0,0m,29.969011,31.31897,29.969011,31.31897
63,,,Giza,cross_source,overture,مكتب بريد - مسجد موسى,post_office,fsq,مكتب بريد - مسجد موسى,Community and Government > Government Building > Post Office,0.0,1.0,0m,29.349543,31.276914,29.349543,31.276914
64,,,Cairo,cross_source,overture,Banque Misr,banks,fsq,Banque Misr,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.0,1.0,0m,30.058368682861328,31.33746337890625,30.058368682861328,31.33746337890625
65,,,Cairo,cross_source,overture,شركة البنيان للمقاولات,building_supply_store,fsq,شركة البنيان للمقاولات,Retail > Construction Supplies Store,0.0,1.0,0m,30.118166,31.341291,30.118166,31.341291
66,,,Giza,cross_source,overture,Mahmoud El Far,grocery_store,fsq,Mahmoud El Far,Retail > Food and Beverage Retail > Supermarket,0.0,1.0,0m,30.012402,31.01519,30.012402,31.01519
67,,,Qalyubiya,cross_source,overture,Wahet El Nakheel,arts_and_entertainment,fsq,Wahet El Nakheel,Landmarks and Outdoors > Waterfront,0.0,1.0,0m,30.548276901245,31.258472442627,30.548276901245117,31.258472442626953
68,,,Qalyubiya,cross_source,overture,Adidas,sporting_goods,fsq,Adidas,Retail > Sporting Goods Retail,0.0,1.0,0m,30.174915313720703,31.47520637512207,30.174915313720703,31.47520637512207
69,,,Giza,cross_source,overture,EG Bank,banks,fsq,EG Bank,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.0,1.0,0m,29.965449175101277,30.934751843899353,29.965449175101277,30.934751843899353
70,,,Cairo,cross_source,overture,Saudi Egyptian Developers,real_estate_service,fsq,Saudi Egyptian Developers,Business and Professional Services > Real Estate Service > Real Estate Development and Title Company,0.0,1.0,0m,30.02594,31.468665,30.02594,31.468665
71,,,Cairo,cross_source,overture,Care Pharmacies,pharmacy,fsq,Care Pharmacies,Retail > Cosmetics Store,0.0,1.0,0m,30.05829988630261,31.46127590998799,30.05829988630261,31.46127590998799
72,,,Qalyubiya,cross_source,overture,OLA Energy,,fsq,OLA Energy,Travel and Transportation > Fuel Station,0.0,1.0,0m,30.31089827206771,31.20487868785858,30.31089827206771,31.20487868785858
73,,,Cairo,cross_source,overture,Etisalat | اتصالات,mobile_phone_store,fsq,Etisalat | اتصالات,Retail > Computers and Electronics Retail > Mobile Phone Store,0.0,1.0,0m,30.06125078284537,31.33222373645929,30.06125078284537,31.33222373645929
74,,,Cairo,cross_source,overture,Othaim,grocery_store,fsq,Othaim,Retail > Food and Beverage Retail > Supermarket,0.0,1.0,0m,30.099695,31.308407,30.099695,31.308407
75,,,Cairo,cross_source,overture,Malak Gabr,music_venue,fsq,Malak Gabr,Arts and Entertainment > Performing Arts Venue,0.0,1.0,0m,30.02242474771,31.498030555813,30.02242474770978,31.498030555813205
76,,,Qalyubiya,cross_source,overture,KFC,chicken_restaurant,fsq,KFC,Dining and Drinking > Restaurant > Fried Chicken Joint,0.0,1.0,0m,30.470518328166936,31.183032129685163,30.470518328166936,31.183032129685163
77,,,Giza,cross_source,overture,Amr Diab,corporate_office,fsq,Amr Diab,Business and Professional Services > Office,0.0,1.0,0m,30.030663488907617,31.217609737325915,30.030663488907617,31.217609737325915
78,,,Cairo,cross_source,overture,ابناء صالح العطار,grocery_store,fsq,ابناء صالح العطار,Retail > Food and Beverage Retail > Grocery Store,0.2,1.0,0m,30.07442641,31.33864213,30.074425,31.338643
79,,,Alexandria,cross_source,overture,McDonald's,fast_food_restaurant,fsq,McDonald's,Dining and Drinking > Restaurant > Fast Food Restaurant,0.0,1.0,0m,31.310875332562492,30.0669778131723,31.310875332562492,30.0669778131723
80,,,Cairo,cross_source,overture,Media Club Egypt,coworking_space,fsq,Media Club Egypt,Business and Professional Services > Technology Business > IT Service,0.0,1.0,0m,30.073523971116973,31.342025501412415,30.073523971116973,31.342025501412415
81,,,Cairo,cross_source,overture,We - Telecom Egypt,,fsq,We - Telecom Egypt,Retail > Computers and Electronics Retail > Mobile Phone Store,0.0,1.0,0m,30.02511058549258,31.225955486297607,30.02511058549258,31.225955486297607
82,,,Giza,cross_source,overture,Misr Pharmacies,pharmacy,fsq,Misr Pharmacies,Retail > Cosmetics Store,0.0,1.0,0m,29.994587434327045,31.15990325003626,29.994587434327045,31.15990325003626
83,,,Cairo,cross_source,overture,Haj Arafa,coffee_roastery,fsq,Haj Arafa,Retail > Food and Beverage Retail > Herbs and Spices Store,0.0,1.0,0m,30.150453,31.627046,30.150453,31.627046
84,,,Qalyubiya,cross_source,overture,NBE,banks,fsq,NBE,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.0,1.0,0m,30.101497650146484,31.24553108215332,30.101497650146484,31.24553108215332
85,,,Cairo,cross_source,overture,مكتب التأمينات الاجتماعية - الازبكية,public_service_and_government,fsq,مكتب التأمينات الاجتماعية - الازبكية,Community and Government,0.0,1.0,0m,30.055068,31.25044,30.055068,31.25044
86,,,Cairo,cross_source,overture,مكتب بريد - المعز لدين الله الفاطمى,post_office,fsq,مكتب بريد - المعز لدين الله الفاطمى,Community and Government > Government Building > Post Office,0.0,1.0,0m,30.05149,31.261863,30.05149,31.261863
87,,,Qalyubiya,cross_source,overture,GLC Paints Showroom - Yasser El Kady,paint_store,fsq,GLC Paints Showroom - Yasser El Kady,Retail > Hardware Store,0.0,1.0,0m,30.149308390378753,31.367027093077475,30.149308390378753,31.367027093077475
88,,,Giza,cross_source,overture,امتنان بيت الصحة,building_supply_store,fsq,امتنان بيت الصحة,Retail > Construction Supplies Store,0.0,1.0,0m,29.994188,31.160307,29.994188,31.160307
89,,,Cairo,cross_source,overture,El Ezaby Pharmacy,pharmacy,fsq,El Ezaby Pharmacy,Retail > Cosmetics Store,0.1,1.0,0m,29.9592091,31.2542703,29.95921,31.25427
90,,,Cairo,cross_source,overture,Molly’s Bakery,bakery,fsq,Molly’s Bakery,Dining and Drinking > Bakery,0.0,1.0,0m,30.053296,31.223265,30.053296,31.223265
91,,,Cairo,cross_source,overture,Pool Bar,hotel_bar,fsq,Pool Bar,Travel and Transportation > Lodging > Hotel > Hotel Pool,0.0,1.0,0m,30.072458284653575,31.347895495700868,30.072458284653575,31.347895495700868
92,,,Giza,cross_source,overture,برومولينكس انترناشيونال,advertising_agency,fsq,برومولينكس انترناشيونال,Business and Professional Services > Advertising Agency,0.0,1.0,0m,30.071032,31.019631,30.071032,31.019631
93,,,Cairo,cross_source,overture,Karak Boy,restaurant,fsq,Karak Boy,Dining and Drinking > Juice Bar,0.0,1.0,0m,30.049472,31.441467,30.049472,31.441467
94,,,Alexandria,cross_source,overture,Metro Market,grocery_store,fsq,Metro Market,Retail > Food and Beverage Retail > Supermarket,0.0,1.0,0m,31.245000761729,29.966739014989,31.245000761728576,29.966739014989233
95,,,Qalyubiya,cross_source,overture,Ebe Obour,bank_credit_union,fsq,Ebe Obour,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.0,1.0,0m,30.175852,31.472399,30.175852,31.472399
96,,,Alexandria,cross_source,overture,Agamy Beach   شاطئ العجمي,beach,fsq,Agamy Beach | شاطئ العجمي,Landmarks and Outdoors > Beach,0.0,1.0,0m,31.084413489909,29.740717885034,31.084413489909267,29.74071788503388
97,,,Cairo,cross_source,overture,Sukun Community Space,yoga_studio,fsq,Sukun Community Space,Sports and Recreation > Gym and Studio > Yoga Studio,0.0,1.0,0m,30.034900805677783,31.502115726470944,30.034900805677783,31.502115726470944
98,,,Cairo,cross_source,overture,مدرسة سانت فاتيما للغات,school,fsq,مدرسة سانت فاتيما للغات,Community and Government > Education > Primary and Secondary School,0.5,1.0,0m,30.06876574,31.28240361,30.068767,31.282409
99,,,Cairo,cross_source,overture,Caribou Coffee,coffee_shop,fsq,Caribou Coffee,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",0.0,1.0,0m,30.051004,31.244354,30.051004,31.244354
100,,,Qalyubiya,cross_source,overture,مدرسة الزهراء الخاصة,elementary_school,fsq,مدرسة الزهراء الخاصة,Community and Government > Education > Primary and Secondary School,0.5,1.0,0m,30.16106437,31.34066682,30.161066,31.340662
